segnum	locus	span	number	number50	number50.fgwas	prop.enriched.before	prop.enriched.after	prop.changed	atac.topsnps
46	HMG20A	346308	49	7	4	0.326530612244898	0.26530612244898	0.0612244897959183	FALSE
95	PTPRD	1438977	7636	1156	571	0.301597695128339	0.24345206914615	0.0581456259821896	TRUE
77	WFS1	57400	87	1	1	0.0804597701149425	0.0229885057471264	0.0574712643678161	FALSE
75	TMEM154	279178	523	26	13	0.189292543021033	0.1434034416826	0.0458891013384321	TRUE
2	HHEX/IDE	56252	24	3	3	0.333333333333333	0.291666666666667	0.0416666666666666	FALSE
78	PAM	1202394	2842	44	29	0.17558057705841	0.13652357494722	0.0390570021111893	TRUE
12	MC4R	183017	168	24	22	0.285714285714286	0.25	0.0357142857142857	FALSE
32	DUSP8	33166	186	5	3	0.129032258064516	0.102150537634409	0.0268817204301075	TRUE
48	PRC1	124708	75	12	10	0.346666666666667	0.32	0.0266666666666667	TRUE
68	PPARG	131493	42	5	2	0.214285714285714	0.19047619047619	0.0238095238095238	TRUE
53	ZZEF1	406765	307	7	6	0.133550488599349	0.110749185667752	0.0228013029315961	TRUE
3	NA	38263	45	1	1	0.0444444444444444	0.0222222222222222	0.0222222222222222	FALSE
70	ST64GAL1	75871	247	5	2	0.125506072874494	0.109311740890688	0.0161943319838057	TRUE
72	UBE2E2	380818	65	2	2	0.0615384615384615	0.0461538461538462	0.0153846153846154	FALSE
86	KLF14	45256	71	18	15	0.422535211267606	0.408450704225352	0.0140845070422535	FALSE
62	FAF1	970054	1903	139	117	0.161849710982659	0.151339989490279	0.0105097214923804	TRUE
81	CENPW	412762	125	5	5	0.112	0.104	0.00800000000000001	FALSE
47	ZFAND6	103297	271	8	7	0.154981549815498	0.14760147601476	0.00738007380073802	FALSE
57	CILP2	540001	1358	25	12	0.112665684830633	0.106038291605302	0.00662739322533137	TRUE
74	MAEA	1754839	2719	14	2	0.0286870172857668	0.0235380654652446	0.00514895182052225	FALSE
79	ARL15	151620	233	22	20	0.218884120171674	0.214592274678112	0.00429184549356224	FALSE
44	NRXN3	387538	537	7	5	0.042830540037244	0.0391061452513966	0.0037243947858473	TRUE
30	VPS26A	186372	501	15	8	0.115768463073852	0.11377245508982	0.00199600798403195	TRUE
4	NA	41197	24	1	1	0.0833333333333333	0.0833333333333333	0	TRUE
6	KCNQ1	196	3	1	1	0.333333333333333	0.333333333333333	0	TRUE
7	NA	0	1	1	1	0	0	0	TRUE
8	NA	0	1	1	1	0	0	0	FALSE
9	CCND2	28170	20	1	1	0.1	0.1	0	FALSE
15	NA	0	1	1	1	0	0	0	FALSE
17	ANKRD55	21449	20	4	2	0.3	0.3	0	FALSE
27	CDKN2A/B	1006	5	1	2	0.4	0.4	0	TRUE
34	HSD17B12	126012	74	18	18	0.351351351351351	0.351351351351351	0	TRUE
43	SPRY2	13339	9	2	2	0.333333333333333	0.333333333333333	0	FALSE
51	CMIP	10516	3	1	1	0.333333333333333	0.333333333333333	0	FALSE
58	APOE	11005	4	1	1	0.25	0.25	0	FALSE
69	IGF2BP2	32655	30	2	2	0.166666666666667	0.166666666666667	0	FALSE
73	ADAMTS9	30676	14	5	5	0.5	0.5	0	FALSE
82	SLC35D3/NHEG1/IL20RA	18390	40	6	3	0.2	0.2	0	TRUE
83	CDKAL1	30072	6	1	1	0.166666666666667	0.166666666666667	0	FALSE
90	HSF1	44837	37	5	5	0.351351351351351	0.351351351351351	0	FALSE
96	TLE1	18347	8	1	1	0.25	0.25	0	FALSE
42	TSPAN8/LGR5	252481	536	6	5	0.10634328358209	0.110074626865672	-0.00373134328358209	FALSE
61	MACF1	536276	251	37	31	0.342629482071713	0.346613545816733	-0.00398406374501997	TRUE
94	TLE4	130812	192	6	6	0.114583333333333	0.119791666666667	-0.00520833333333334	FALSE
24	TP53INP1	384929	829	1	2	0.014475271411339	0.0253317249698432	-0.0108564535585042	FALSE
84	POU5F1/TCF19	276474	326	15	12	0.156441717791411	0.168711656441718	-0.0122699386503067	FALSE
87	UBE3C	168225	220	7	8	0.222727272727273	0.236363636363636	-0.0136363636363636	TRUE
14	HNF4A	169469	136	2	2	0.0514705882352941	0.0661764705882353	-0.0147058823529412	TRUE
65	IRS1	134269	85	16	15	0.188235294117647	0.211764705882353	-0.0235294117647059	TRUE
29	PLEKHA1/ARMS2	59192	25	10	9	0.48	0.52	-0.04	FALSE
19	HLA-DQA1	80285	41	1	2	0.0975609756097561	0.146341463414634	-0.048780487804878	FALSE
59	NOTCH2	134810	73	3	5	0.123287671232877	0.178082191780822	-0.0547945205479452	FALSE
76	ACSL1	48311	67	13	5	0.0895522388059701	0.149253731343284	-0.0597014925373134	TRUE
31	ZMIZ1	13372	15	2	2	0.133333333333333	0.2	-0.0666666666666667	FALSE
50	BCAR1	51612	13	1	2	0.153846153846154	0.230769230769231	-0.0769230769230769	FALSE
85	SSR1/RREB1	160805	315	3	5	0.107936507936508	0.187301587301587	-0.0793650793650794	TRUE
45	C2CD4A	263438	46	3	6	0.217391304347826	0.304347826086957	-0.0869565217391305	TRUE
5	NA	15163	8	2	2	0.25	0.375	-0.125	FALSE
26	CDKN2A/B	1555	6	2	2	0.166666666666667	0.5	-0.333333333333333	TRUE
63	MTMR3/HORMAD2	473626	153	49	38	0.183006535947712	0.522875816993464	-0.339869281045752	FALSE
